,agency_name,ori
4933,Fulton County Sheriff's Office,IL0290000
4934,Peru Police Department,IL0500800
4935,Hanover Park Police Department,IL0164200
4936,Romeoville Police Department,IL0991300
4937,Park Forest Police Department,IL0168800
4938,Sterling Police Department,IL0980700
4939,Catlin Police Department,IL0920200
4940,Christopher Police Department,IL0280200
4941,Wabash County Sheriff's Office,IL0930000
4942,Danvers Police Department,IL0570700
4943,Fairview Police Department,IL0291100
4944,Mount Sterling Police Department,IL0050100
4945,St. Jacob Police Department,IL0602500
4946,Governors State University,IL0992400
4947,Stronghurst  Police Department,IL0360600
4948,Northbrook Police Department,IL0167500
4949,Campton Hills Police Department,IL0453400
4950,Pecatonica Police Department,IL1010300
4951,Meredosia Police Department,IL0690200
4952,Bureau Police Department,IL0061400
4953,Lebanon Police Department,IL0820900
4954,El Paso Police Department,IL1020100
4955,Lake In the Hills Police Department,IL0560900
4956,Downs Police Department,IL0571800
4957,Cambria Police Department,IL1000500
4958,Lincoln Police Department,IL0540200
4959,Sangamon County Sheriff's Office,IL0840000
4960,Troy Police Department,IL0601400
4961,Oak Brook Police Department,IL0221500
4962,Pierron Police Department,IL0030500
4963,Round Lake Park Police Department,IL0491900
4964,Bunker Hill Police Department,IL0590300
4965,Southern Illinois University: School of Medicine,IL0844600
4966,McCook Police Department,IL0166400
4967,Skokie Police Department,IL0164A00
4968,Pittsfield Police Department,IL0750300
4969,Raymond Police Department,IL0680400
4970,Henry Police Department,IL0620100
4971,Gilman Police Department,IL0380200
4972,Union Pacific Railroad: St. Clair County,IL0825100
4973,McDonough County Sheriff's Office,IL0550000
4974,Cambridge Police Department,IL0370400
4975,Divernon Police Department,IL0841100
4976,Collinsville Police Department,IL0600300
4977,Sycamore Police Department,IL0190500
4978,Clay County Sheriff's Office,IL0130000
4979,Galena Police Department,IL0430300
4980,Highwood Police Department,IL0490800
4981,Robbins Police Department,IL0169700
4982,Sleepy Hollow Police Department,IL0451200
4983,Will County Sheriff's Office,IL0990000
4984,North Pekin Police Department,IL0900800
4985,Edgar County Sheriff's Office,IL0230000
4986,East Carondelet Police Department,IL0824000
4987,Newman Police Department,IL0210400
4988,Jasper County Sheriff's Office,IL0400000
4989,Indiana Harbor Belt Railroad,IL0165F9E
4990,Vienna Police Department,IL0440100
4991,Hometown Police Department,IL0165100
4992,Herscher Police Department,IL0461000
4993,Jackson County Sheriff's Office,IL0390000
4994,Bensenville Police Department,IL0220200
4995,Central City Police Department,IL0610100
4996,College of DuPage,IL0223700
4997,Grantfork  Police Department,IL0603800
4998,University of Illinois: Chicago,IL0166C00
4999,Peoria Heights Police Department,IL0720900
5000,Palos Hills Police Department,IL0168600
5001,Fairmount Police Department,IL0920400
5002,Plainfield Police Department,IL0991100
5003,Deer Creek Police Department,IL0901900
5004,Erie Police Department,IL0980900
5005,Buda Police Department,IL0060100
5006,Franklin County Sheriff's Office,IL0280000
5007,Warren County Sheriff's Office,IL0940000
5008,Glenwood Police Department,IL0164000
5009,Kankakee Community College,IL0462100
5010,Ina Police Department,IL0410700
5011,Glen Carbon Police Department,IL0602300
5012,Washington County Sheriff's Office,IL0950000
5013,Morton College,IL0169F00
5014,Wonder Lake Police Department,IL0562200
5015,Lawrenceville Police Department,IL0510200
5016,Mokena Police Department,IL0992200
5017,Prairie du Rocher Police Department,IL0790800
5018,Round Lake Park District,IL0494300
5019,Plano Police Department,IL0470100
5020,Valier Police Department,IL0281100
5021,Roodhouse Police Department,IL0310300
5022,Niles Police Department,IL0167300
5023,Belvidere Police Department,IL0040100
5024,Winnebago Police Department,IL1010900
5025,Monticello Police Department,IL0740300
5026,Lee County Sheriff's Office,IL0520000
5027,Maryville Police Department,IL0601200
5028,Bourbonnais Police Department,IL0460300
5029,Villa Park Police Department,IL0221700
5030,Edwards County Sheriff's Office,IL0240000
5031,Monroe County Sheriff's Office,IL0670000
5032,Sorento Police Department,IL0030300
5033,Barry Police Department,IL0750100
5034,Staunton Police Department,IL0590900
5035,Coal City Police Department,IL0320100
5036,Onarga Police Department,IL0380400
5037,College of Lake County,IL0493200
5038,Canadian Pacific Railway,IL016SL00
5039,Berwyn Police Department,IL0160900
5040,Elburn Police Department,IL0450500
5041,Lynwood Police Department,IL0166200
5042,Galva Police Department,IL0370600
5043,Alton Police Department,IL0600100
5044,Carol Stream Police Department,IL0220400
5045,Western Springs Police Department,IL0167B00
5046,Findlay Police Department,IL0870700
5047,Sandwich Police Department,IL0190300
5048,Clayton Police Department,IL0010700
5049,Waukegan Police Department,IL0492100
5050,Kansas,IL0230200
5051,Villa Grove Police Department,IL0210600
5052,Maple Park Police Department,IL0451800
5053,River Grove Police Department,IL0169500
5054,Sheridan Police Department,IL0501500
5055,Murphysboro Police Department,IL0390200
5056,South Chicago Heights Police Department,IL0166A00
5057,Hoopeston Police Department,IL0920600
5058,Lake Forest Police Department,IL0491000
5059,Peoria Police Department,IL0720700
5060,Palatine Police Department,IL0168400
5061,Richland County Sheriff's Office,IL0800000
5062,Mendota Police Department,IL0500400
5063,Harper College,IL0169D00
5064,Nashville Police Department,IL0950200
5065,Old Shawneetown Police Department,IL0300300
5066,Fairmont City Police Department,IL0822000
5067,University Park Police Department,IL0992000
5068,Calumet Park Police Department,IL0161800
5069,Gifford Police Department,IL0101100
5070,Pontoon Beach Police Department,IL0602100
5071,St. Francisville Police Department,IL0510400
5072,Lake County Forest Preserve,IL0494100
5073,Wayne County Sheriff's Office,IL0960000
5074,La Moille Police Department,IL0061000
5075,Carrollton Police Department,IL0310100
5076,Morton Grove Police Department,IL0167100
5077,Livingston County Sheriff's Office,IL0530000
5078,South Beloit Police Department,IL1010700
5079,Amboy Police Department,IL0520200
5080,Bradley Police Department,IL0460100
5081,Chebanse Police Department,IL0380600
5082,Greenville Police Department,IL0030100
5083,Burbank Police Department,IL0168C00
5084,Hampton Police Department,IL0811100
5085,West Chicago Police Department,IL0221900
5086,Mount Olive Police Department,IL0590700
5087,Illinois Commerce Commission,IL0844200
5088,Effingham County Sheriff's Office,IL0250000
5089,Joliet Junior College,IL0993100
5090,Bellwood Police Department,IL0160700
5091,Champaign County Sheriff's Office,IL0100000
5092,Livingston Police Department,IL0601000
5093,Lindenhurst Police Department,IL0493000
5094,Bradford Police Department,IL0880300
5095,Carpentersville Police Department,IL0450300
5096,Montgomery County Sheriff's Office,IL0680000
5097,Waterloo Police Department,IL0670200
5098,Lemont Police Department,IL0166000
5099,Warrensburg Police Department,IL0580900
5100,Lake Land College,IL0150900
5101,Freeport Police Department,IL0890100
5102,Downers Grove Police Department,IL0220600
5103,Rock Island County Sheriff's Office,IL0810000
5104,Donnellson Police Department,IL0681300
5105,Genoa Police Department,IL0190100
5106,Henning Police Department,IL0921900
5107,Riverdale Police Department,IL0169300
5108,Southwestern Illinois College,IL0824400
5109,North Utica,IL0501700
5110,Apple River Police Department,IL0430700
5111,De Soto Police Department,IL0390400
5112,Rankin Police Department,IL0920800
5113,East Hazel Crest Police Department,IL0162900
5114,Olympia Fields Police Department,IL0168200
5115,Fox Valley Park District,IL0452700
5116,Rockford Metro Centre,IL1011800
5117,Oglesby Police Department,IL0500600
5118,Elwood Police Department,IN0480300
5119,Delaware County Sheriff's Office,IN0180000
5120,Shelbyville Police Department,IN0730100
5121,Gibson County Sheriff's Office,IN0260000
5122,Greenfield Police Department,IN0300100
5123,Dyer Police Department,IN0451300
5124,State Police: Rush County,IN370SP00
5125,Ripley County Sheriff's Office,IN0690000
5126,Howard County Sheriff's Office,IN0340000
5127,Sullivan County Sheriff's Office,IN0770000
5128,State Police: Perry County,IN362SP00
5129,Valparaiso Police Department,IN0640300
5130,State Police: La Porte County,IN346SP00
5131,Washington Police Department,IN0140100
5132,State Police: Bartholomew County,IN303SP00
5133,Kendallville Police Department,IN0570100
5134,State Police: Wayne County,IN389SP00
5135,Mount Vernon Police Department,IN0650100
5136,State Police: Montgomery County,IN354SP00
5137,Rush County Sheriff's Office,IN0700000
5138,State Police: Clay County,IN311SP00
5139,New Albany Police Department,IN0220100
5140,South Whitley Police Department,IN0920300
5141,State Police: Delaware County,IN318SP00
5142,West Terre Haute Police Department,IN0840200
5143,Montgomery County Sheriff's Office,IN0540000
5144,Fort Wayne Police Department,IN0020100
5145,North Liberty Police Department,IN0710600
5146,Franklin Police Department,IN0410200
5147,Carmel Police Department,IN0290100
5148,Salem Police Department,IN0880100
5149,Cedar Lake Police Department,IN0450100
5150,State Police: Howard County,IN334SP00
5151,Indiana University: Bloomington,IN0530200
5152,Jay County Sheriff's Office,IN0380000
5153,State Police: Sullivan County,IN377SP00
5154,Clarksville Police Department,IN0100200
5155,State Police: Vanderburgh County,IN382SP00
5156,Bremen Police Department,IN0500100
5157,Hobart Police Department,IN0450900
5158,Wabash County Sheriff's Office,IN0850000
5159,Boone County Sheriff's Office,IN0060000
5160,Winchester Police Department,IN0680200
5161,Knox County Sheriff's Office,IN0420000
5162,Clay County Sheriff's Office,IN0110000
5163,Linton Police Department,IN0280300
5164,Anderson Police Department,IN0480200
5165,Hancock County Sheriff's Office,IN0300000
5166,Lowell Police Department,IN0451200
5167,Union  County Sheriff's Office,IN0810000
5168,State Police: Pulaski County,IN366SP00
5169,State Police: Fountain County,IN323SP00
5170,Kokomo Police Department,IN0340100
5171,Wells County Sheriff's Office,IN0900000
5172,Dayton Police Department,IN0790500
5173,Shelby County Sheriff's Office,IN0730000
5174,Sullivan Police Department,IN0770100
5175,Burns Harbor Police Department,IN0640400
5176,State Police: Marion County,IN349SP00
5177,State Police: Boone County,IN306SP00
5178,Pulaski County Sheriff's Office,IN0660000
5179,State Police: Wabash County,IN385SP00
5180,Ligonier Police Department,IN0570200
5181,Auburn Police Department,IN0170100
5182,Rushville Police Department,IN0700100
5183,Indiana University: Southeast,IN0220200
5184,State Police: Marshall County,IN350SP00
5185,Perry County Sheriff's Office,IN0620000
5186,Roseland Police Department,IN0710700
5187,Noblesville Police Department,IN0290200
5188,Greenwood Police Department,IN0410300
5189,Westville Police Department,IN0460600
5190,Dearborn County Sheriff's Office,IN0150000
5191,Indiana State University,IN0840300
5192,Allen County Sheriff's Office,IN0020000
5193,Ohio County Sheriff's Office,IN0580000
5194,State Police: Knox County,IN342SP00
5195,Charlestown Police Department,IN0100100
5196,Bloomington Police Department,IN0530100
5197,Lake County Sheriff's Office,IN0450000
5198,Dunkirk Police Department,IN0380100
5199,State Police: Grant County,IN327SP00
5200,Washington County Sheriff's Office,IN0880000
5201,State Police: Jay County,IN338SP00
5202,State Police: Daviess County,IN314SP00
5203,Lebanon Police Department,IN0060100
5204,Beech Grove Police Department,IN0490100
5205,Rochester Police Department,IN0250100
5206,North Manchester Police Department,IN0850100
5207,State Police: Spencer County,IN374SP00
5208,Highland Police Department,IN0450800
5209,State Police: Harrison County,IN331SP00
5210,Union City Police Department,IN0680100
5211,State Police: Noble County,IN357SP00
5212,Bicknell Police Department,IN0420100
5213,New Castle Police Department,IN0330200
5214,Plymouth Police Department,IN0500200
5215,Warren County Sheriff's Office,IN0860000
5216,Kosciusko County Sheriff's Office,IN0430000
5217,Alexandria Police Department,IN0480100
5218,Martin County Sheriff's Office,IN0510000
5219,Whiting Police Department,IN0451100
5220,Hartford City Police Department,IN0050100
5221,Albion Police Department,IN0570300
5222,Chesterton Police Department,IN0640100
5223,State Police: Monroe County,IN353SP00
5224,Grant County Sheriff's Office,IN0270000
5225,St. Joseph County Airport Authority,IN0711100
5226,Connersville Police Department,IN0210100
5227,State Police: Clark County,IN310SP00
5228,West Lafayette Police Department,IN0790200
5229,State Police: St. Joseph County,IN371SP00
5230,De Kalb County Sheriff's Office,IN0170000
5231,Evansville Police Department,IN0820100
5232,State Police: Dubois County,IN319SP00
5233,Cass County Sheriff's Office,IN0090000
5234,State Police: Jasper County,IN337SP00
5235,Oakland City Police Department,IN0260200
5236,Parke County Sheriff's Office,IN0610000
5237,Columbia City Police Department,IN0920100
5238,Jasper County Sheriff's Office,IN0370000
5239,State Police: Union County,IN381SP00
5240,New Whiteland Police Department,IN0410400
5241,Trail Creek  Police Department,IN0460500
5242,Plainfield Police Department,IN0320300
5243,Indianapolis Police Department,INIPD0000
5244,State Police: Benton County,IN304SP00
5245,State Police: Lawrence County,IN347SP00
5246,Lynn Police Department,IN0680400
5247,St. Joseph County Sheriff's Office,IN0710000
5248,Sellersburg Police Department,IN0100400
5249,Northern Indiana Commuter Transportation District,IN046139E
5250,Fountain County Sheriff's Office,IN0230000
5251,Wabash Police Department,IN0850200
5252,Seymour Police Department,IN0360200
5253,Clinton County Sheriff's Office,IN0120000
5254,Hammond Police Department,IN0450700
5255,Indianapolis International Airport,IN0490600
5256,Vincennes Police Department,IN0420200
5257,Morgan County Sheriff's Office,IN0550000
5258,Aurora Police Department,IN0150100
5259,Nappanee Police Department,IN0200300
5260,State Police: Floyd County,IN322SP00
5261,State Police: Posey County,IN365SP00
5262,Angola Police Department,IN0760100
5263,State Police: Starke County,IN375SP00
5264,Warsaw Police Department,IN0430100
5265,State Police: Hendricks County,IN332SP00
5266,State Police: Dearborn County,IN315SP00
5267,Munster Police Department,IN0451000
5268,State Police: Ohio County,IN358SP00
5269,Ball State University,IN0180500
5270,Blackford County Sheriff's Office,IN0050000
5271,Batesville Police Department,IN0690100
5272,Portage Police Department,IN0640200
5273,State Police: Whitley County,IN392SP00
5274,Purdue University,IN0790300
5275,Mitchell Police Department,IN0470200
5276,Vanderburgh County Sheriff's Office,IN0820000
5277,Cumberland Police Department,IN0491900
5278,Floyd County Sheriff's Office,IN0220000
5279,Logansport Police Department,IN0090100
5280,Posey County Sheriff's Office,IN0650000
5281,Indiana University: Northwest,IN0451800
5282,Princeton Police Department,IN0260100
5283,Madison County Sheriff's Office,IN0480000
5284,State Police: Gibson County,IN326SP00
5285,Westfield Police Department,IN0290400
5286,State Police: Ripley County,IN369SP00
5287,Prince's Lakes Police Department,IN0410500
5288,Hagerstown Police Department,IN0890400
5289,State Police: Kosciusko County,IN343SP00
5290,Kingsford Heights Police Department,IN0460400
5291,Danville Police Department,IN0320200
5292,State Police: Warren County,IN386SP00
5293,Crawfordsville Police Department,IN0540100
5294,Decatur County Sheriff's Office,IN0160000
5295,Mishawaka Police Department,IN0710100
5296,State Police: Owen County,IN360SP00
5297,Ellettsville Police Department,IN0530300
5298,North Judson Police Department,IN0750200
5299,Jeffersonville Police Department,IN0100300
5300,Marshall County Sheriff's Office,IN0500000
5301,Griffith Police Department,IN0450600
5302,Lawrenceburg Police Department,IN0150200
5303,Orange County Sheriff's Office,IN0590000
5304,State Police: Cass County,IN309SP00
5305,Brazil Police Department,IN0110100
5306,Henry County Sheriff's Office,IN0330000
5307,Steuben County Sheriff's Office,IN0760000
5308,Rensselaer Police Department,IN0370100
5309,Chesterfield Police Department,IN0480700
5310,La Porte Metro Operations Drug Task Force,IN0461500
5311,Winona Lake Police Department,IN0430200
5312,Marion Police Department,IN0270200
5313,State Police: Jackson County,IN336SP00
5314,Bedford Police Department,IN0470100
5315,State Police: Tippecanoe County,IN379SP00
5316,Owen County Sheriff's Office,IN0600000
5317,Adams County Sheriff's Office,IN0010000
5318,LaGrange County Sheriff's Office,IN0440000
5319,Monticello Police Department,IN0910100
5320,Tippecanoe County Sheriff's Office,IN0790000
5321,State Police: Tipton County,IN380SP00
5322,Fowler Police Department,IN0040100
5323,Clinton Police Department,IN0830100
5324,State Police: Scott County,IN372SP00
5325,Madison Police Department,IN0390100
5326,State Police: Greene County,IN328SP00
5327,Miami County Sheriff's Office,IN0520000
5328,New Chicago Police Department,IN0451700
5329,Warren Police Department,IN0350200
5330,Warrick County Sheriff's Office,IN0870000
5331,Putnam County Sheriff's Office,IN0670000
5332,State Police: Fayette County,IN321SP00
5333,Brownsburg Police Department,IN0320100
5334,Long Beach Police Department,IN0460300
5335,Jennings County Sheriff's Office,IN0400000
5336,Greensburg Police Department,IN0160100
5337,State Police: Blackford County,IN305SP00
5338,South Bend Police Department,IN0710200
5339,Kouts Police Department,IN0641100
5340,Knox Police Department,IN0750100
5341,Covington Police Department,IN0230200
5342,Carroll County Sheriff's Office,IN0080000
5343,State Police: Porter County,IN364SP00
5344,Jackson County Sheriff's Office,IN0360000
5345,Mooresville Police Department,IN0550200
5346,Indiana University: Indianapolis,IN0490400
5347,Jasper Police Department,IN0190200
5348,Gary Police Department,IN0450500
5349,State Police: Madison County,IN348SP00
5350,Scott County Sheriff's Office,IN0720000
5351,Greendale Police Department,IN0150300
5352,Petersburg Police Department,IN0630100
5353,State Police: Miami County,IN352SP00
5354,Culver Police Department,IN0500500
5355,Franklin County Sheriff's Office,IN0240000
5356,Elkhart Police Department,IN0200100
5357,Marian University,IN049359E
5358,Crawford County Sheriff's Office,IN0130000
5359,State Police: Jennings County,IN340SP00
5360,Avon Police Department,IN0321100
5361,State Police: Vermillion County,IN383SP00
5362,Newton County Sheriff's Office,IN0560000
5363,Indiana State Police,INISP0000
5364,Benton County Sheriff's Office,IN0040000
5365,State Police: Decatur County,IN316SP00
5366,Porter County Sheriff's Office,IN0640000
5367,Lawrence County Sheriff's Office,IN0470000
5368,Gas City Police Department,IN0270100
5369,Loogootee Police Department,IN0510100
5370,Fayette County Sheriff's Office,IN0210000
5371,Lafayette Police Department,IN0790100
5372,Berne Police Department,IN0010100
5373,State Police: Henry County,IN333SP00
5374,State Police: Randolph County,IN368SP00
5375,State Police: Orange County,IN359SP00
5376,Vermillion County Sheriff's Office,IN0830000
5377,Schererville Police Department,IN0451600
5378,Butler University,IN049409E
5379,Jefferson County Sheriff's Office,IN0390000
5380,Boonville Police Department,IN0870100
5381,State Police: Steuben County,IN376SP00
5382,Whitley County Sheriff's Office,IN0920000
5383,Hendricks County Sheriff's Office,IN0320000
5384,Walkerton Police Department,IN0710300
5385,North Vernon Police Department,IN0400100
5386,Delphi Police Department,IN0080100
5387,Attica Police Department,IN0230100
5388,State Police: Clinton County,IN312SP00
5389,Brownstown Police Department,IN0360100
5390,State Police: Fulton County,IN325SP00
5391,Starke County Sheriff's Office,IN0750000
5392,State Police: Warrick County,IN387SP00
5393,Martinsville Police Department,IN0550100
5394,State Police: Carroll County,IN308SP00
5395,Frankfort Police Department,IN0120100
5396,State Police: Adams County,IN301SP00
5397,Whitestown Police Department,IN0060500
5398,Huntingburg Police Department,IN0190100
5399,State Police: LaGrange County,IN344SP00
5400,Lake Station Police Department,IN0450400
5401,State Police: White County,IN391SP00
5402,Greene County Sheriff's Office,IN0280000
5403,State Police: Parke County,IN361SP00
5404,Michigan City Police Department,IN0460200
5405,Scottsburg Police Department,IN0720100
5406,Goshen Police Department,IN0200200
5407,Cambridge City Police Department,IN0890200
5408,State Police: Allen County,IN302SP00
5409,State Police: Washington County,IN388SP00
5410,State Police: Lake County,IN345SP00
5411,Bluffton Police Department,IN0900100
5412,Russiaville Police Department,IN0340200
5413,State Police: Hamilton County,IN329SP00
5414,Clarks Hill Police Department,IN0790600
5415,State Police: Pike County,IN363SP00
5416,Corydon Police Department,IN0310100
5417,Waterloo Police Department,IN0170400
5418,Depauw University,IN067079E
5419,Decatur Police Department,IN0010200
5420,State Police: Elkhart County,IN320SP00
5421,State Police: Morgan County,IN355SP00
5422,St. John Police Department,IN0451500
5423,Switzerland County Sheriff's Office,IN0780000
5424,Georgetown Police Department,IN0220300
5425,Huntington County Sheriff's Office,IN0350000
5426,State Police: Martin County,IN351SP00
5427,Brown County Sheriff's Office,IN0070000
5428,Johnson County Sheriff's Office,IN0410000
5429,East Chicago Police Department,IN0450300
5430,Clark County Sheriff's Office,IN0100000
5431,Monroe County Sheriff's Office,IN0530000
5432,Vigo County Sheriff's Office,IN0840000
5433,Tell City Police Department,IN0620100
5434,Portland Police Department,IN0380200
5435,Fishers Police Department,IN0290700
5436,Tipton Police Department,IN0800100
5437,Fulton County Sheriff's Office,IN0250000
5438,Lawrence Police Department,IN0490200
5439,Dubois County Sheriff's Office,IN0190000
5440,Austin Police Department,IN0720200
5441,Randolph County Sheriff's Office,IN0680000
5442,Columbus Police Department,IN0030100
5443,State Police: De Kalb County,IN317SP00
5444,Bloomfield Police Department,IN0280100
5445,State Police: Huntington County,IN335SP00
5446,La Porte Police Department,IN0460100
5447,Richmond Police Department,IN0890100
5448,State Police: Switzerland County,IN378SP00
5449,Bargersville Police Department,IN0410800
5450,Muncie Police Department,IN0180100
5451,State Police: Brown County,IN307SP00
5452,Merrillville Police Department,IN0451400
5453,Fairmount Police Department,IN0270300
5454,Porter Police Department,IN0640600
5455,Spencer County Sheriff's Office,IN0740000
5456,Garrett Police Department,IN0170300
5457,Harrison County Sheriff's Office,IN0310000
5458,White County Sheriff's Office,IN0910000
5459,Noble County Sheriff's Office,IN0570000
5460,Daviess County Sheriff's Office,IN0140000
5461,State Police: Vigo County,IN384SP00
5462,State Police: Johnson County,IN341SP00
5463,Peru Police Department,IN0520100
5464,State Police: Putnam County,IN367SP00
5465,Huntington Police Department,IN0350100
5466,State Police: Franklin County,IN324SP00
5467,Greencastle Police Department,IN0670100
5468,State Police: Newton County,IN356SP00
5469,Hamilton County Sheriff's Office,IN0290000
5470,Terre Haute Police Department,IN0840100
5471,New Haven Police Department,IN0020200
5472,Edinburgh Police Department,IN0410100
5473,State Police: Hancock County,IN330SP00
5474,Crown Point Police Department,IN0450200
5475,State Police: Shelby County,IN373SP00
5476,Hebron Police Department,IN0641000
5477,Indiana State Excise Police,INIEP0000
5478,State Police: Wells County,IN390SP00
5479,Cannelton Police Department,IN0620200
5480,Speedway Police Department,IN0490300
5481,Zionsville Police Department,IN0060300
5482,Bartholomew County Sheriff's Office,IN0030000
5483,Tipton County Sheriff's Office,IN0800000
5484,La Porte County Sheriff's Office,IN0460000
5485,Jasonville Police Department,IN0280200
5486,State Police: Crawford County,IN313SP00
5487,Pike County Sheriff's Office,IN0630000
5488,Elkhart County Sheriff's Office,IN0200000
5489,State Police: Jefferson County,IN339SP00
5490,Wayne County Sheriff's Office,IN0890000
5491,Leland Police Department,MS0760200
5492,Neshoba County Sheriff's Office,MS0500000
5493,Purvis Police Department,MS0370100
5494,Moorhead Police Department,MS0670400
5495,Corinth Police Department,MS0020100
5496,Olive Branch Police Department,MS0170200
5497,Wayne County Sheriff's Office,MS0770000
5498,Jones County Sheriff's Office,MS0340000
5499,Pass Christian Police Department,MS0240400
5500,Raymond Police Department,MS0250200
5501,Fulton Police Department,MS0290100
5502,Leflore County Sheriff's Office,MS0420000
5503,Mississippi Highway Safety Patrol,MSMHP0000
5504,Water Valley Police Department,MS0810100
5505,Grenada Police Department,MS0220100
5506,Jackson County Sheriff's Office,MS0300000
5507,Union County Sheriff's Office,MS0730000
5508,Winona Police Department,MS0490100
5509,Cleveland Police Department,MS0060100
5510,Tate County Sheriff's Office,MS0690000
5511,Holmes County Sheriff's Office,MS0260000
5512,New Augusta Police Department,MS0560200
5513,Ackerman Police Department,MS0100100
5514,Starkville Police Department,MS0530100
5515,Okolona Police Department,MS0090200
5516,Ridgeland Police Department,MS0450200
5517,Pearl Police Department,MS0610200
5518,Scott County Sheriff's Office,MS0620000
5519,Pike County Sheriff's Office,MS0570000
5520,Coahoma County Sheriff's Office,MS0140000
5521,Greenville Police Department,MS0760100
5522,Long Beach Police Department,MS0240300
5523,Ruleville Police Department,MS0670300
5524,Philadelphia Police Department,MS0500100
5525,Alcorn County Sheriff's Office,MS0020000
5526,Hernando Police Department,MS0170300
5527,Yalobusha County Sheriff's Office,MS0810000
5528,Lauderdale County Sheriff's Office,MS0380000
5529,Jackson Police Department,MS0250100
5530,Greenwood Police Department,MS0420100
5531,Itawamba Community College,MS0290200
5532,Charleston Police Department,MS0680100
5533,Bolivar County Sheriff's Office,MS0060000
5534,Roxie Police Department,MS0190400
5535,Oktibbeha County Sheriff's Office,MS0530000
5536,Flora Police Department,MS0450300
5537,Hancock County Sheriff's Office,MS0230000
5538,Choctaw County Sheriff's Office,MS0100000
5539,Tippah County Sheriff's Office,MS0700000
5540,Brandon Police Department,MS0610100
5541,Montgomery County Sheriff's Office,MS0490000
5542,Amory Police Department,MS0480200
5543,Clarksdale Police Department,MS0140100
5544,Stone County Sheriff's Office,MS0660000
5545,Magnolia Police Department,MS0570100
5546,Columbia Police Department,MS0460100
5547,Lee County Sheriff's Office,MS0410000
5548,Gloster Police Department,MS0030100
5549,Meridian Police Department,MS0380100
5550,Drew Police Department,MS0670200
5551,Saltillo Police Department,MS0410800
5552,Gulfport Police Department,MS0240200
5553,Desoto County Sheriff's Office,MS0170000
5554,Louisville Police Department,MS0800100
5555,Laurel Police Department,MS0340200
5556,Hinds County Sheriff's Office,MS0250000
5557,Stonewall Police Department,MS0120300
5558,Calhoun County Sheriff's Office,MS0070000
5559,Baldwyn Police Department,MS0590200
5560,Newton County Sheriff's Office,MS0510000
5561,Mount Olive Police Department,MS0160200
5562,Tallahatchie County Sheriff's Office,MS0680000
5563,Macon Police Department,MS0520100
5564,State Capitol Police,MS0251900
5565,Walthall County Sheriff's Office,MS0740000
5566,Clay County Sheriff's Office,MS0130000
5567,Perry County Sheriff's Office,MS0560000
5568,Shelby Police Department,MS0060300
5569,Ocean Springs Police Department,MS0300200
5570,Madison County Sheriff's Office,MS0450000
5571,Morton Police Department,MS0620200
5572,Flowood Police Department,MS0610400
5573,Hattiesburg Police Department,MS0180100
5574,Jasper County Sheriff's Office,MS0310000
5575,Hinds Community College,MS0251100
5576,Wiggins Police Department,MS0660100
5577,Hollandale Police Department,MS0760300
5578,Marion County Sheriff's Office,MS0460000
5579,Edwards Police Department,MS0250700
5580,Amite County Sheriff's Office,MS0030000
5581,George County Sheriff's Office,MS0200000
5582,Indianola Police Department,MS0670100
5583,Biloxi Police Department,MS0240100
5584,Sharkey County Sheriff's Office,MS0630000
5585,Como Police Department,MS0540400
5586,Southaven Police Department,MS0170100
5587,Winston County Sheriff's Office,MS0800000
5588,Tupelo Police Department,MS0410100
5589,Ellisville Police Department,MS0340100
5590,Waynesboro Police Department,MS0770100
5591,Poplarville Police Department,MS0550200
5592,Bruce Police Department,MS0070100
5593,Decatur Police Department,MS0510100
5594,Northeast Mississippi Community College,MS0590300
5595,Itawamba County Sheriff's Office,MS0290000
5596,Webster County Sheriff's Office,MS0780000
5597,New Albany Police Department,MS0730100
5598,Kemper County Sheriff's Office,MS0350000
5599,Mound Bayou Police Department,MS0060200
5600,West Point Police Department,MS0130100
5601,Moss Point Police Department,MS0300100
5602,Noxubee County Sheriff's Office,MS0520000
5603,Pickens Police Department,MS0260500
5604,Canton Police Department,MS0450100
5605,Singing River Health System,MS0300900
5606,Bay St. Louis Police Department,MS0230200
5607,Pelahatchie Police Department,MS0610300
5608,Forest Police Department,MS0620100
5609,Jackson State University,MS0251000
5610,Forrest County Sheriff's Office,MS0180000
5611,Iuka Police Department,MS0710100
5612,Covington County Sheriff's Office,MS0160000
5613,Prentiss County Sheriff's Office,MS0590000
5614,Rolling Fork Police Department,MS0630100
5615,Carroll County Sheriff's Office,MS0080000
5616,Terry Police Department,MS0250600
5617,Lucedale Police Department,MS0200100
5618,Jefferson County Sheriff's Office,MS0320000
5619,Crenshaw Police Department,MS0540300
5620,Harrison County Sheriff's Office,MS0240000
5621,Sunflower County Sheriff's Office,MS0670000
5622,Hazlehurst Police Department,MS0150200
5623,Kosciusko Police Department,MS0040100
5624,Newton Police Department,MS0510200
5625,D'Iberville Police Department,MS0240800
5626,Holly Springs Police Department,MS0470100
5627,Quitman Police Department,MS0120100
5628,Calhoun City Police Department,MS0070200
5629,Picayune Police Department,MS0550100
5630,Eupora Police Department,MS0780100
5631,Quitman County Sheriff's Office,MS0600000
5632,De Kalb Police Department,MS0350100
5633,Rosedale Police Department,MS0060500
5634,Lawrence County Sheriff's Office,MS0390000
5635,Warren County Sheriff's Office,MS0750000
